epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.9176,0.9191,0.8767,0.9543,0.9552,0.9245,0.0129,0,0,0,0.3483,0.94,0.9402,0.9333,0.9576,0.9576,0.9628,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2784,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0006
1,0.9334,0.9355,0.8767,0.9547,0.9568,0.8956,0.0,0,0,0,0.3119,0.94,0.9402,0.9333,0.9571,0.958,0.9356,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0006
2,0.933,0.935,0.8767,0.9519,0.9539,0.8949,0.0,0,0,0,0.3102,0.94,0.9402,0.9333,0.9547,0.9555,0.935,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2766,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0006
3,0.933,0.935,0.8767,0.9525,0.955,0.8924,0.0,0,0,0,0.3109,0.94,0.9402,0.9333,0.9526,0.9541,0.9144,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2866,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.0006
4,0.9339,0.936,0.8767,0.9575,0.9589,0.9164,0.0003,0,0,0,0.2963,0.94,0.9402,0.9333,0.9529,0.9541,0.92,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3258,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0006
5,0.9325,0.9345,0.8767,0.956,0.958,0.9002,0.0003,0,0,0,0.312,0.94,0.9402,0.9333,0.9528,0.9541,0.92,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.0006
6,0.9368,0.939,0.8767,0.9627,0.964,0.9282,0.0026,0,0,0,0.2857,0.9367,0.9368,0.9333,0.954,0.9546,0.9383,0.0038,0,0,0,0.0,0,0.0,0.0,0.3426,0.3108,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0107
7,0.9387,0.9409,0.8767,0.9663,0.9669,0.9472,0.0069,0,0,0,0.2761,0.9378,0.9379,0.9333,0.9539,0.9547,0.94,0.0031,0,0,0,0.0,0,0.0,0.0,0.3435,0.3248,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0112
8,0.9401,0.9424,0.8767,0.9706,0.9717,0.9366,0.0086,0,0,0,0.2841,0.9356,0.9379,0.8667,0.9534,0.9539,0.9411,0.0414,0,0,0,0.0,0,0.0,0.0,0.3418,0.3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0173
9,0.9464,0.9489,0.8767,0.9759,0.9768,0.9454,0.0126,0,0,0,0.2354,0.94,0.9402,0.9333,0.9531,0.9542,0.9261,0.0015,0,0,0,0.0,0,0.0,0.0,0.3452,0.4529,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0121
