epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.8989,0.9007,0.8493,0.9519,0.9531,0.919,0.0075,0,0,0,0.6088,0.94,0.9402,0.9333,0.9618,0.9615,0.9667,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2754,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0006
1,0.9344,0.9365,0.8767,0.9643,0.9659,0.9193,0.0,0,0,0,0.2815,0.94,0.9402,0.9333,0.9661,0.9657,0.9767,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0006
2,0.9339,0.9355,0.8889,0.9758,0.9776,0.9228,0.0,0,0,0,0.2741,0.94,0.9402,0.9333,0.9693,0.9688,0.9833,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0006
3,0.933,0.935,0.8767,0.9799,0.9813,0.9353,0.0,0,0,0,0.2621,0.94,0.9402,0.9333,0.9681,0.9675,0.99,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3032,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0006
4,0.9339,0.936,0.875,0.9858,0.9865,0.9587,0.0086,0,0,0,0.233,0.94,0.9402,0.9333,0.9702,0.9696,0.9917,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3105,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0006
5,0.9358,0.938,0.875,0.9885,0.9893,0.9582,0.0076,0,0,0,0.2134,0.94,0.9402,0.9333,0.9716,0.9711,0.9872,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3113,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0006
6,0.9425,0.9459,0.8493,0.9911,0.9916,0.9711,0.0188,0,0,0,0.1807,0.9367,0.9368,0.9333,0.9716,0.9711,0.9867,0.0023,0,0,0,0.0,0,0.0,0.0,0.3224,0.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0003
7,0.9483,0.9504,0.8904,0.993,0.9934,0.9772,0.0122,0,0,0,0.1583,0.9333,0.9333,0.9333,0.9719,0.9713,0.9878,0.0153,0,0,0,0.0,0,0.0,0.0,0.3571,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0157
8,0.954,0.9568,0.8767,0.9945,0.9954,0.9667,0.0271,0,0,0,0.1407,0.9333,0.9333,0.9333,0.9729,0.9724,0.9856,0.0046,0,0,0,0.0,0,0.0,0.0,0.3218,0.3465,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0
9,0.9559,0.9588,0.8767,0.9951,0.9953,0.9871,0.0408,0,0,0,0.124,0.9344,0.9345,0.9333,0.973,0.9725,0.9883,0.0038,0,0,0,0.0,0,0.0,0.0,0.322,0.4051,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0001
