epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.8879,0.8893,0.8493,0.9425,0.9456,0.8592,0.0168,0,0,0,0.4914,0.94,0.9402,0.9333,0.959,0.9599,0.9356,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0006
1,0.933,0.935,0.875,0.9705,0.9729,0.8997,0.0,0,0,0,0.2901,0.94,0.9402,0.9333,0.9653,0.9656,0.9589,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.7313,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0006
2,0.933,0.935,0.875,0.9873,0.9875,0.9782,0.0,0,0,0,0.2211,0.94,0.9402,0.9333,0.9667,0.9674,0.9483,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0006
3,0.9334,0.9355,0.8767,0.9932,0.994,0.9702,0.0003,0,0,0,0.1676,0.94,0.9402,0.9333,0.956,0.9563,0.9494,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.5145,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0006
4,0.9411,0.9429,0.8904,0.996,0.9961,0.9904,0.0107,0,0,0,0.1236,0.94,0.9402,0.9333,0.9575,0.9576,0.9522,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.9116,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0006
5,0.9602,0.9613,0.9315,0.9971,0.9973,0.992,0.0385,0,0,0,0.1172,0.94,0.9402,0.9333,0.9598,0.9601,0.9517,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.3079,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0006
6,0.9665,0.9683,0.9167,0.9979,0.998,0.995,0.0403,0,0,0,0.0941,0.94,0.9402,0.9333,0.956,0.956,0.9583,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0006
7,0.9693,0.9707,0.9315,0.9984,0.9985,0.9939,0.0252,0,0,0,0.0816,0.9389,0.9391,0.9333,0.9587,0.9584,0.9653,0.0008,0,0,0,0.0,0,0.0,0.0,0.3228,1.6062,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0005
8,0.9684,0.9702,0.9178,0.9988,0.9989,0.9945,0.0438,0,0,0,0.0753,0.8833,0.8828,0.9,0.9522,0.9518,0.9622,0.0008,0,0,0,0.0,0,0.0,0.0,0.3434,0.8189,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0114
9,0.9751,0.9757,0.9583,0.999,0.999,0.9984,0.045,0,0,0,0.0728,0.91,0.9103,0.9,0.9578,0.9574,0.9683,0.0038,0,0,0,0.0,0,0.0,0.0,0.3507,0.8685,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0181
