epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.9167,0.9191,0.8493,0.9534,0.9559,0.8829,0.0054,0,0,0,0.3928,0.94,0.9402,0.9333,0.9573,0.9571,0.9661,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2802,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0006
1,0.933,0.935,0.875,0.9488,0.9491,0.9435,0.0003,0,0,0,0.3533,0.94,0.9402,0.9333,0.9577,0.9576,0.9617,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3217,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0006
2,0.9339,0.936,0.8767,0.9502,0.951,0.9327,0.0,0,0,0,0.3434,0.94,0.9402,0.9333,0.9576,0.9577,0.9611,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0006
3,0.9325,0.9345,0.8767,0.9511,0.9529,0.9036,0.0003,0,0,0,0.3409,0.94,0.9402,0.9333,0.9556,0.9561,0.9417,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0006
4,0.933,0.935,0.8767,0.9547,0.9562,0.914,0.0,0,0,0,0.3339,0.94,0.9402,0.9333,0.9559,0.956,0.9556,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2689,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0006
5,0.9334,0.9355,0.8767,0.9544,0.9561,0.9045,0.0,0,0,0,0.3464,0.94,0.9402,0.9333,0.9574,0.9573,0.9622,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.4216,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0006
6,0.933,0.935,0.8767,0.9498,0.9514,0.906,0.0,0,0,0,0.3645,0.94,0.9402,0.9333,0.9564,0.9563,0.9633,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0006
7,0.933,0.935,0.8767,0.9512,0.9528,0.9075,0.0,0,0,0,0.3468,0.94,0.9402,0.9333,0.9564,0.9567,0.9494,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0006
8,0.9334,0.9355,0.8767,0.9505,0.952,0.9079,0.0,0,0,0,0.3467,0.94,0.9402,0.9333,0.9535,0.9535,0.9556,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3118,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0006
9,0.9325,0.9345,0.875,0.9508,0.9524,0.9047,0.0003,0,0,0,0.3437,0.94,0.9402,0.9333,0.9546,0.9537,0.9761,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3054,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0006
