epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.9071,0.9092,0.8472,0.9423,0.9436,0.9072,0.0106,0,0,0,0.6075,0.94,0.9402,0.9333,0.9563,0.9579,0.9156,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2954,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,0.0006
1,0.933,0.935,0.8767,0.952,0.9534,0.9076,0.0,0,0,0,0.4942,0.94,0.9402,0.9333,0.9614,0.9615,0.9533,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0006
2,0.9339,0.936,0.8732,0.9505,0.9523,0.9095,0.0,0,0,0,0.5567,0.94,0.9402,0.9333,0.9607,0.9613,0.9389,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3733,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0006
3,0.933,0.935,0.875,0.952,0.9538,0.9054,0.0,0,0,0,0.5203,0.94,0.9402,0.9333,0.9613,0.9618,0.9433,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3478,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0006
4,0.9334,0.9355,0.8767,0.9481,0.9506,0.881,0.0,0,0,0,0.5881,0.94,0.9402,0.9333,0.9557,0.9571,0.9133,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3384,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0006
5,0.933,0.935,0.8767,0.9513,0.953,0.9062,0.0,0,0,0,0.5109,0.94,0.9402,0.9333,0.95,0.9504,0.9367,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.4103,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0006
6,0.9334,0.9355,0.8767,0.8813,0.8826,0.8491,0.0,0,0,0,0.5314,0.94,0.9402,0.9333,0.9269,0.9264,0.9372,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0006
7,0.9334,0.9355,0.8767,0.807,0.8091,0.7492,0.0,0,0,0,0.5386,0.94,0.9402,0.9333,0.9374,0.9374,0.9422,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.6524,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0006
8,0.9334,0.9355,0.875,0.7363,0.7373,0.7089,0.0,0,0,0,0.6012,0.94,0.9402,0.9333,0.8352,0.8349,0.8506,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0006
9,0.9334,0.9355,0.8767,0.6935,0.6951,0.649,0.0,0,0,0,0.6204,0.94,0.9402,0.9333,0.9211,0.9213,0.9139,0.0,0,0,0,0.0,0,0.0,0.0,0.323,1.4466,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0006
