epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.9114,0.9132,0.863,0.947,0.9491,0.8897,0.0061,0,0,0,0.3769,0.94,0.9402,0.9333,0.9574,0.9571,0.9639,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2685,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0006
1,0.9334,0.935,0.8889,0.9505,0.9516,0.9148,0.0,0,0,0,0.3102,0.94,0.9402,0.9333,0.9578,0.9576,0.9656,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2695,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0006
2,0.933,0.935,0.8767,0.9506,0.9524,0.8975,0.0,0,0,0,0.3164,0.94,0.9402,0.9333,0.9597,0.9596,0.9606,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2705,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0006
3,0.933,0.9351,0.8732,0.9558,0.9585,0.8798,0.0,0,0,0,0.3056,0.94,0.9402,0.9333,0.9565,0.9564,0.9594,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2778,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0006
4,0.9344,0.9365,0.8767,0.9535,0.9553,0.8987,0.0,0,0,0,0.2994,0.94,0.9402,0.9333,0.9602,0.96,0.9672,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0006
5,0.9334,0.9355,0.875,0.9544,0.9557,0.9143,0.0,0,0,0,0.2984,0.94,0.9402,0.9333,0.9565,0.9563,0.9661,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0006
6,0.9334,0.9355,0.8767,0.9512,0.9532,0.8947,0.0,0,0,0,0.301,0.94,0.9402,0.9333,0.9599,0.9599,0.96,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2926,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006
7,0.933,0.935,0.875,0.9543,0.955,0.9315,0.0,0,0,0,0.2994,0.94,0.9402,0.9333,0.9596,0.9596,0.9628,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2734,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0006
8,0.9334,0.9355,0.8767,0.9525,0.9543,0.8992,0.0,0,0,0,0.2985,0.94,0.9402,0.9333,0.9598,0.9598,0.96,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0006
9,0.9334,0.9355,0.8767,0.9548,0.9567,0.8999,0.0,0,0,0,0.2982,0.94,0.9402,0.9333,0.9589,0.9585,0.9739,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.2749,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0006
