epoch,trn_acc,trn_acc_class0,trn_acc_class1,trn_auc,trn_auc_class0,trn_auc_class1,trn_dpd,trn_dpr,trn_eod,trn_eor,trn_loss,val_acc,val_acc_class0,val_acc_class1,val_auc,val_auc_class0,val_auc_class1,val_dpd,val_dpr,val_eod,val_eor,val_es_acc,val_es_auc,val_es_sensitivity,val_es_specificity,val_f1,val_loss,val_sensitivity,val_sensitivity_class0,val_sensitivity_class1,val_specificity,val_specificity_class0,val_specificity_class1,val_wgd_auc,val_wgd_f1
0,0.8961,0.8983,0.8356,0.9518,0.9533,0.9078,0.0087,0,0,0,0.4188,0.94,0.9402,0.9333,0.9619,0.9608,0.9894,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.4852,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0006
1,0.933,0.935,0.8767,0.9698,0.9708,0.9391,0.0,0,0,0,0.3092,0.94,0.9402,0.9333,0.9646,0.9636,0.9928,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.9356,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0006
2,0.9334,0.9355,0.875,0.9791,0.979,0.9797,0.0,0,0,0,0.2866,0.94,0.9402,0.9333,0.9653,0.9639,0.9939,0.0,0,0,0,0.0,0,0.0,0.0,0.323,2.7835,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0006
3,0.933,0.935,0.8767,0.9866,0.9872,0.9672,0.0,0,0,0,0.23,0.94,0.9402,0.9333,0.9637,0.9628,0.9872,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.7109,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0006
4,0.9339,0.9355,0.8889,0.9907,0.9913,0.9751,0.0,0,0,0,0.2138,0.94,0.9402,0.9333,0.9614,0.9601,0.9917,0.0,0,0,0,0.0,0,0.0,0.0,0.323,0.9063,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,0.0006
5,0.9349,0.937,0.8767,0.9943,0.9946,0.9802,0.0023,0,0,0,0.1644,0.94,0.9402,0.9333,0.9642,0.9631,0.9911,0.0,0,0,0,0.0,0,0.0,0.0,0.323,2.7768,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0006
6,0.942,0.9439,0.8904,0.9959,0.9961,0.9871,0.0165,0,0,0,0.132,0.9389,0.9391,0.9333,0.9631,0.9621,0.9878,0.0015,0,0,0,0.0,0,0.0,0.0,0.323,1.7549,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0006
7,0.9511,0.9519,0.9315,0.9964,0.9965,0.9914,0.0343,0,0,0,0.1293,0.9356,0.9368,0.9,0.9619,0.9607,0.9839,0.0176,0,0,0,0.0,0,0.0,0.0,0.3415,1.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0135
8,0.9574,0.9588,0.9178,0.997,0.9971,0.9908,0.043,0,0,0,0.1338,0.9378,0.9391,0.9,0.9654,0.9644,0.9861,0.0207,0,0,0,0.0,0,0.0,0.0,0.3228,1.9622,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0036
9,0.9593,0.9618,0.8904,0.9969,0.9971,0.99,0.0227,0,0,0,0.1384,0.9389,0.9402,0.9,0.9644,0.9634,0.9911,0.0215,0,0,0,0.0,0,0.0,0.0,0.323,2.3399,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0037
